source,target,value
1,1802822645,13
1,1800198675,13
1,1800085275,13
1,1800223031,13
1,1800064784,13
2,1800024141,13
2,1804133346,13
2,1800118520,13
2,1800228066,13
2,1800103039,13
3,1808419749,13
3,1804329632,13
3,1800025551,13
3,1800234527,13
3,1804707629,13
4,1802816711,13
4,1800103151,13
4,1800223031,13
4,1804861092,13
4,1800361191,13
5,1800019337,13
5,1800025551,13
5,1808405325,13
5,1800018810,13
5,1807816312,13
6,1807858489,13
6,1802816835,13
6,1800228538,13
6,1800071079,13
6,1808404439,13
7,1804861092,13
7,1807816312,13
7,1808467432,13
7,1800179562,13
7,1800229631,13
8,1804713420,13
8,1800023786,13
8,1800025371,13
8,1800022106,13
8,1800228066,13
9,1808466103,13
9,1800228066,13
9,1800182364,13
9,1804398726,13
9,1804365319,13
10,1800112611,13
10,1807634444,13
10,1800043163,13
10,1804707629,13
10,1807793661,13
11,1800419889,13
11,1800353749,13
11,1800025551,13
11,1800229750,13
11,1800018964,13
12,1808411996,13
12,1800070046,13
12,1800161887,13
12,1800070006,13
12,1800025223,13
13,1800350702,13
13,1800027944,13
13,1802814933,13
13,1800223031,13
13,1807426884,13
14,1800057086,13
14,1800026459,13
14,1802761123,13
14,1800021319,13
14,1807426893,13
15,1800020345,13
15,1800106663,13
15,1800215431,13
15,1800182038,13
15,1800092910,13
16,1804030882,13
16,1804892925,13
16,1807426893,13
16,1807812137,13
16,1808403981,13
17,1808435941,13
17,1808450790,13
17,1800256439,13
17,1800092910,13
17,1808403975,13
18,1808396034,13
18,1800024300,13
18,1800088651,13
18,1804133346,13
18,1807565371,13
19,1800070006,13
19,1800245898,13
19,1800143814,13
19,1800021319,13
19,1804358017,13
20,1800114635,13
20,1804383678,13
20,1800048758,13
20,1800179562,13
20,1800043163,13
21,1800341322,13
21,1805535154,13
21,1807858508,13
21,1800198688,13
21,1800244920,13
22,1800195515,13
22,1800552752,13
22,1802822645,13
22,1800026758,13
22,1800054624,13
23,1800042778,13
23,1800022369,13
23,1800182364,13
23,1800256750,13
23,1800130729,13
24,1800074038,13
24,1807426893,13
24,1800107656,13
24,1800022096,13
24,1800228066,13
25,1800245829,13
25,1800025371,13
25,1800022145,13
25,1800228066,13
25,1807731530,13
26,1800341693,13
26,1807816302,13
26,1805535166,13
26,1800071536,13
26,1807426893,13
27,1804329632,13
27,1800025551,13
27,1800019214,13
27,1800353749,13
27,1800043163,13
28,1800268955,13
28,1803470438,13
28,1800223031,13
28,1800228066,13
28,1807751013,13
29,1804383671,13
29,1800071790,13
29,1804329632,13
29,1800025551,13
29,1800244920,13
30,1800352365,13
30,1800099342,13
30,1808435941,13
30,1800350465,13
30,1800043163,13
31,1804126078,13
31,1800128578,13
31,1800223031,13
31,1804329632,13
31,1804383571,13
32,1800103151,13
32,1800353550,13
32,1804383671,13
32,1802814933,13
32,1800318700,13
33,1800072405,13
